name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Côte d'Or Lait Noisettes - 45 g,drinks,9.56,44.4,42.2,14.9,4.44,0.261,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,2,Neutral
Caramel latte - Nescafé Gold - 8 x 17g,drinks,8.82,68.8,51.2,8.82,1.18,1.44,Allergens: Milk,1,0,0,0,0,3,Harmful
Aloe Vera Drink - Tropical - 500 ml e,drinks,14.52,48.0,45.0,29.935,20.232014218009482,2.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Bonsoy Soy Milk - Spiral Foods,drinks,4.12,5.6,2.2,0.32,1.4,0.118,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Chocolush! - Shaken Udder - 330ml,drinks,3.3,10.0,8.3,1.4,0.0,0.178,Allergens: Milk,1,0,0,0,0,2,Neutral
Protein Vanilla - Arla Foods - 500 g,drinks,5.6,5.3,5.3,0.6,12.751875527426158,0.118,Allergens: Milk,1,0,0,0,0,1,Beneficial
Yop vanille - yoplait - 250g,drinks,3.3,14.0,13.0,1.2,12.751875527426158,0.13,Allergens: Milk,1,0,0,0,0,2,Neutral
Passion Fruit Flavored Drink with Nata de Coco - Mogu mogu - 32 cl,drinks,0.0,9.7,9.7,0.0,0.0,0.14,,0,0,0,0,0,3,Harmful
Cola Zero azúcar - Hacendado - 2 l,drinks,0.0,0.1,0.0,0.0,12.751875527426158,0.02,,0,0,0,0,0,2,Neutral
Unsweetened Almond - Riso Scotti - 1 l,drinks,0.9,1.0,0.22,0.22,0.5,0.1,Allergens: Nuts,0,1,0,0,0,2,Neutral
Kefir - Arla - 1l,drinks,3.4,3.9,3.9,1.9,0.0,0.1,Allergens: Milk,1,0,0,0,0,2,Neutral
Kirkland Signature Organic Non-Dairy Oat Beverage - 6x1 qt,drinks,14.52,111.0,78.0,11.578162962962963,20.232014218009482,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
7up - 330 ml,drinks,0.0,0.0,0.0,0.0,0.0,0.04,Allergens: Milk,1,0,0,0,0,3,Harmful
Eau pétillante citron - Saskia - 500 ml,drinks,0.0,0.0,0.0,0.0,12.751875527426158,0.007,Allergens: Milk,1,0,0,0,0,2,Neutral
bars - unreal - 15.3 oz,drinks,0.0,53.3,20.0,29.935,6.67,2.62,Allergens: Milk,1,0,0,0,0,3,Harmful
Thums up - 250 ml,drinks,0.0,9.7,9.5,0.0,0.0,0.055,Allergens: Milk,1,0,0,0,0,3,Harmful
Bebida arroz - Hacendado,drinks,14.52,7.0,78.0,29.935,12.751875527426158,2.62,Allergens: Milk,1,0,0,0,0,2,Neutral
PRIME Tropical Punch,drinks,0.0,1.2,0.4,11.578162962962963,12.751875527426158,0.005,Allergens: Milk,1,0,0,0,0,2,Neutral
suckies raspberry - The Collective - 90 g,drinks,3.8,9.6,7.6,1.9,12.751875527426158,0.1,Allergens: Milk,1,0,0,0,0,2,Neutral
Thumbs Up 750ml pet - Thumps up,drinks,12.055957255343081,14.729708803611738,13.901433217189314,11.578162962962963,12.751875527426158,2.62,Allergens: Milk,1,0,0,0,0,1,Beneficial
Eau minérale pétillante - fou d'o - 1l,drinks,0.0,0.0,0.0,0.0,0.0,0.01,Allergens: Milk,1,0,0,0,0,3,Harmful
